DEPTH	SDTC	1-AMP	SDTS	CAI	SDTST
252.25	0.045957	0.175913	0.033842	0.224046	0.00097
252.375	0.027814	0.160263	0.025998	0.203237	0.02974
252.5	0.009698	0.142535	0.019796	0.184792	0.132448
252.625	-0.002732	0.123264	0.014965	0.158634	0.270293
252.75	-0.002564	0.124633	0.011993	0.161238	0.376636
252.875	0.010713	0.162702	0.009772	0.201801	0.412774
253	0.027161	0.165436	0.006747	0.211841	0.385323
253.125	0.044748	0.193584	0.002591	0.249817	0.309591
253.25	0.053995	0.200916	0.000122	0.258883	0.213687
253.375	0.052062	0.205797	-0.000455	0.269331	0.124891
253.5	0.042258	0.198883	0.000813	0.25918	0.056169
253.625	0.028593	0.204172	0.002061	0.266656	0.011566
253.75	0.015409	0.211789	0.002887	0.273147	0.022173
253.875	0.006355	0.222575	0.006257	0.289358	0.06694
254	0.002496	0.196808	0.014101	0.257869	0.119345
254.125	0.002336	0.184329	0.024729	0.239096	0.170223
254.25	0.004394	0.140072	0.034943	0.175349	0.212656
254.375	0.005912	0.066201	0.04072	0.082847	0.235766
254.5	0.005488	0.007628	0.041129	0.002492	0.229417
254.625	0.003449	-0.032586	0.03667	-0.047638	0.190872
254.75	0.000947	-0.007667	0.027912	-0.019726	0.127548
254.875	0.00321	0.011936	0.015404	0.001989	0.056386
255	0.009106	0.016561	0.003837	0.008753	0.007772
255.125	0.014389	0.015889	0.0007	0.010665	0.002042
255.25	0.016738	0.004182	0.007293	-0.022104	0.022832
255.375	0.014414	0.072895	0.019742	0.086937	0.065785
255.5	0.00717	0.0755	0.027547	0.078695	0.107816
255.625	-0.000675	0.228225	0.025498	0.27973	0.136578
255.75	-0.003754	0.244177	0.018334	0.309771	0.15647
255.875	0.000851	0.432209	0.011849	0.516806	0.173753
256	0.008334	0.394477	0.008387	0.492702	0.189005
256.125	0.016235	0.349765	0.005127	0.414361	0.194593
256.25	0.020857	0.443727	0.001549	0.525757	0.183124
256.375	0.019518	0.400902	0.001944	0.473463	0.155402
256.5	0.012896	0.383587	0.009893	0.459538	0.113448
256.625	0.005829	0.21803	0.022127	0.232193	0.061416
256.75	0.006148	0.315473	0.037711	0.37377	0.015406
256.875	0.023677	0.369216	0.058573	0.424458	-0.00283
257	0.052218	0.32743	0.084616	0.391855	0.012829
257.125	0.089112	0.395684	0.112824	0.462955	0.059651
257.25	0.124032	0.471526	0.133117	0.583552	0.113311
257.375	0.14113	0.508862	0.13491	0.611965	0.137265
257.5	0.132917	0.499899	0.117884	0.612547	0.123566
257.625	0.100336	0.467732	0.087339	0.565771	0.082248
257.75	0.053851	0.420568	0.053392	0.522407	0.036251
